title;link
To Kill a Mockingbird;www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
Harry Potter and the Sorcerer’s Stone (Harry Potter, #1);www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone
Pride and Prejudice;www.goodreads.com/book/show/1885.Pride_and_Prejudice
The Diary of a Young Girl;www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl
Animal Farm;www.goodreads.com/book/show/170448.Animal_Farm
The Little Prince;www.goodreads.com/book/show/157993.The_Little_Prince
1984;www.goodreads.com/book/show/61439040-1984
The Great Gatsby;www.goodreads.com/book/show/4671.The_Great_Gatsby
The Catcher in the Rye;www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
The Lord of the Rings (Middle Earth, #2-4);www.goodreads.com/book/show/33.The_Lord_of_the_Rings
The Book Thief;www.goodreads.com/book/show/19063.The_Book_Thief
Jane Eyre;www.goodreads.com/book/show/10210.Jane_Eyre
The Chronicles of Narnia (The Chronicles of Narnia, #1-7);www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
Lord of the Flies;www.goodreads.com/book/show/7624.Lord_of_the_Flies
Romeo and Juliet;www.goodreads.com/book/show/18135.Romeo_and_Juliet
Harry Potter and the Deathly Hallows (Harry Potter, #7);www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
The Kite Runner;www.goodreads.com/book/show/77203.The_Kite_Runner
The Giver (The Giver, #1);www.goodreads.com/book/show/3636.The_Giver
The Giving Tree;www.goodreads.com/book/show/370493.The_Giving_Tree
Charlotte’s Web;www.goodreads.com/book/show/24178.Charlotte_s_Web
Little Women;www.goodreads.com/book/show/1934.Little_Women
The Hunger Games (The Hunger Games, #1);www.goodreads.com/book/show/2767052-the-hunger-games
The Hobbit (The Lord of the Rings, #0);www.goodreads.com/book/show/5907.The_Hobbit
Fahrenheit 451;www.goodreads.com/book/show/13079982-fahrenheit-451
Of Mice and Men;www.goodreads.com/book/show/890.Of_Mice_and_Men
Green Eggs and Ham;www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3);www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Wuthering Heights;www.goodreads.com/book/show/6185.Wuthering_Heights
Alice’s Adventures in Wonderland / Through the Looking-Glass;www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
The Picture of Dorian Gray;www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
Night  (The Night Trilogy, #1);www.goodreads.com/book/show/1617.Night
Gone with the Wind;www.goodreads.com/book/show/18405.Gone_with_the_Wind
The Holy Bible: King James Version;www.goodreads.com/book/show/1923820.The_Holy_Bible
Harry Potter and the Goblet of Fire (Harry Potter, #4);www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1);www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
Hamlet;www.goodreads.com/book/show/1420.Hamlet
Harry Potter and the Half-Blood Prince (Harry Potter, #6);www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
The Adventures of Huckleberry Finn;www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn
Tolkien On Fairy-stories;www.goodreads.com/book/show/1362112.Tolkien_On_Fairy_stories
Les Misérables;www.goodreads.com/book/show/24280.Les_Mis_rables
Brave New World and Brave New World Revisited;www.goodreads.com/book/show/5479.Brave_New_World_and_Brave_New_World_Revisited
Crime and Punishment;www.goodreads.com/book/show/7144.Crime_and_Punishment
The Help;www.goodreads.com/book/show/4667024-the-help
The Secret Garden;www.goodreads.com/book/show/2998.The_Secret_Garden
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1);www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
Memoirs of a Geisha;www.goodreads.com/book/show/929.Memoirs_of_a_Geisha
The Odyssey;www.goodreads.com/book/show/1381.The_Odyssey
A Christmas Carol;www.goodreads.com/book/show/5326.A_Christmas_Carol
The Cat in the Hat (The Cat in the Hat, #1);www.goodreads.com/book/show/233093.The_Cat_in_the_Hat
The Outsiders;www.goodreads.com/book/show/231804.The_Outsiders
One Hundred Years of Solitude;www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
A Thousand Splendid Suns;www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
The Grapes of Wrath;www.goodreads.com/book/show/18114322-the-grapes-of-wrath
Anne of Green Gables (Anne of Green Gables, #1);www.goodreads.com/book/show/8127.Anne_of_Green_Gables
Where the Sidewalk Ends;www.goodreads.com/book/show/30119.Where_the_Sidewalk_Ends
The Count of Monte Cristo;www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo
Ender’s Game (Ender's Saga, #1);www.goodreads.com/book/show/375802.Ender_s_Game
Where the Wild Things Are;www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
The Color Purple;www.goodreads.com/book/show/52892857-the-color-purple
The Adventures of Tom Sawyer;www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer
A Tale of Two Cities;www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities
Life of Pi;www.goodreads.com/book/show/4214.Life_of_Pi
The Handmaid’s Tale (The Handmaid's Tale, #1);www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
Frankenstein: The 1818 Text;www.goodreads.com/book/show/35031085-frankenstein
One Flew Over the Cuckoo’s Nest;www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
Anna Karenina;www.goodreads.com/book/show/15823480-anna-karenina
Oh, the Places You’ll Go!;www.goodreads.com/book/show/191139.Oh_the_Places_You_ll_Go_
Tuesdays with Morrie;www.goodreads.com/book/show/6900.Tuesdays_with_Morrie
The Fellowship of the Ring (The Lord of the Rings, #1);www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring
Winnie-the-Pooh (Winnie-the-Pooh, #1);www.goodreads.com/book/show/99107.Winnie_the_Pooh
Slaughterhouse-Five;www.goodreads.com/book/show/4981.Slaughterhouse_Five
The Old Man and the Sea;www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea
Catch-22;www.goodreads.com/book/show/168668.Catch_22
The Scarlet Letter;www.goodreads.com/book/show/12296.The_Scarlet_Letter
Macbeth;www.goodreads.com/book/show/8852.Macbeth
The Alchemist;www.goodreads.com/book/show/865.The_Alchemist
Twilight (The Twilight Saga, #1);www.goodreads.com/book/show/41865.Twilight
The Metamorphosis;www.goodreads.com/book/show/485894.The_Metamorphosis
Lolita;www.goodreads.com/book/show/7604.Lolita
The Stranger;www.goodreads.com/book/show/49552.The_Stranger
Siddhartha;www.goodreads.com/book/show/52036.Siddhartha
The Time Traveler’s Wife;www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
Goodnight Moon;www.goodreads.com/book/show/32929.Goodnight_Moon
Harry Potter and the Chamber of Secrets (Harry Potter, #2);www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
Harry Potter and the Sorcerer's Stone (Harry Potter, #1);www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
War and Peace;www.goodreads.com/book/show/656.War_and_Peace
A Tree Grows in Brooklyn;www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn
The Alchemist;www.goodreads.com/book/show/18144590-the-alchemist
All Quiet on the Western Front;www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front
A Clockwork Orange;www.goodreads.com/book/show/41817486-a-clockwork-orange
The Little House Collection (Little House, #1-9);www.goodreads.com/book/show/114345.The_Little_House_Collection
The Stand;www.goodreads.com/book/show/149267.The_Stand
Don Quixote;www.goodreads.com/book/show/3836.Don_Quixote
Uncle Tom’s Cabin;www.goodreads.com/book/show/46787.Uncle_Tom_s_Cabin
القرآن الكريم;www.goodreads.com/book/show/646462._
Atlas Shrugged;www.goodreads.com/book/show/662.Atlas_Shrugged
The Brothers Karamazov;www.goodreads.com/book/show/4934.The_Brothers_Karamazov
The Poisonwood Bible;www.goodreads.com/book/show/7244.The_Poisonwood_Bible
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1);www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings
Moby-Dick or, The Whale;www.goodreads.com/book/show/153747.Moby_Dick_or_The_Whale
Dune (Dune, #1);www.goodreads.com/book/show/44767458-dune
Brave New World;www.goodreads.com/book/show/5129.Brave_New_World
Foundation (Foundation, #1);www.goodreads.com/book/show/29579.Foundation
A Wrinkle in Time (Time Quintet, #1);www.goodreads.com/book/show/33574273-a-wrinkle-in-time
The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5);www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy
Do Androids Dream of Electric Sheep?;www.goodreads.com/book/show/36402034-do-androids-dream-of-electric-sheep
Stranger in a Strange Land;www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land
I, Robot (Robot, #0.1);www.goodreads.com/book/show/41804.I_Robot
Hyperion (Hyperion Cantos, #1);www.goodreads.com/book/show/77566.Hyperion
Neuromancer (Sprawl, #1);www.goodreads.com/book/show/6088007-neuromancer
Speaker for the Dead (Ender's Saga, #2);www.goodreads.com/book/show/7967.Speaker_for_the_Dead
Snow Crash;www.goodreads.com/book/show/40651883-snow-crash
The Martian Chronicles;www.goodreads.com/book/show/76778.The_Martian_Chronicles
The Fellowship of the Ring (The Lord of the Rings, #1);www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
The Foundation Trilogy (Foundation, #1-3);www.goodreads.com/book/show/46654.The_Foundation_Trilogy
Jurassic Park (Jurassic Park, #1);www.goodreads.com/book/show/40604658-jurassic-park
2001: A Space Odyssey (Space Odyssey, #1);www.goodreads.com/book/show/70535.2001
Starship Troopers;www.goodreads.com/book/show/17214.Starship_Troopers
The Time Machine;www.goodreads.com/book/show/2493.The_Time_Machine
The Left Hand of Darkness;www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness
Flowers for Algernon;www.goodreads.com/book/show/18373.Flowers_for_Algernon
The Chain Between Worlds (The Lost Artefacts #1);www.goodreads.com/book/show/60288648-the-chain-between-worlds
The War of the Worlds;www.goodreads.com/book/show/8909.The_War_of_the_Worlds
The Name of the Wind (The Kingkiller Chronicle, #1);www.goodreads.com/book/show/186074.The_Name_of_the_Wind
Ender's Shadow (The Shadow Series, #1);www.goodreads.com/book/show/9532.Ender_s_Shadow
Ready Player One (Ready Player One, #1);www.goodreads.com/book/show/9969571-ready-player-one
Cat’s Cradle;www.goodreads.com/book/show/135479.Cat_s_Cradle
Childhood’s End;www.goodreads.com/book/show/414999.Childhood_s_End
The Moon Is a Harsh Mistress;www.goodreads.com/book/show/16690.The_Moon_Is_a_Harsh_Mistress
The Forever War (The Forever War, #1);www.goodreads.com/book/show/21611.The_Forever_War
A Canticle for Leibowitz (St. Leibowitz, #1);www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz
Rendezvous with Rama (Rama, #1);www.goodreads.com/book/show/112537.Rendezvous_with_Rama
The Host (The Host, #1);www.goodreads.com/book/show/1656001.The_Host
Old Man's War (Old Man's War, #1);www.goodreads.com/book/show/36510196-old-man-s-war
Dragonflight (Dragonriders of Pern, #1);www.goodreads.com/book/show/61975.Dragonflight
Contact;www.goodreads.com/book/show/61666.Contact
Ringworld (Ringworld, #1);www.goodreads.com/book/show/61179.Ringworld
Twenty Thousand Leagues Under the Sea (Captain Nemo, #2);www.goodreads.com/book/show/33507.Twenty_Thousand_Leagues_Under_the_Sea
American Gods;www.goodreads.com/book/show/30165203-american-gods
The Dispossessed: An Ambiguous Utopia;www.goodreads.com/book/show/13651.The_Dispossessed
The Diamond Age: Or, a Young Lady's Illustrated Primer;www.goodreads.com/book/show/827.The_Diamond_Age
I Am Legend and Other Stories;www.goodreads.com/book/show/547094.I_Am_Legend_and_Other_Stories
World War Z: An Oral History of the Zombie War;www.goodreads.com/book/show/8908.World_War_Z
The Sparrow (The Sparrow, #1);www.goodreads.com/book/show/334176.The_Sparrow
Never Let Me Go;www.goodreads.com/book/show/6334.Never_Let_Me_Go
The Man in the High Castle;www.goodreads.com/book/show/216363.The_Man_in_the_High_Castle
Ubik;www.goodreads.com/book/show/22590.Ubik
Uglies (Uglies, #1);www.goodreads.com/book/show/24770.Uglies
The Andromeda Strain (Andromeda, #1);www.goodreads.com/book/show/7670.The_Andromeda_Strain
The Mote in God's Eye (Moties, #1);www.goodreads.com/book/show/100365.The_Mote_in_God_s_Eye
The Martian;www.goodreads.com/book/show/18007564-the-martian
The Return of the King (The Lord of the Rings, #3);www.goodreads.com/book/show/18512.The_Return_of_the_King
