title,link
Charlotte’s Web,www.goodreads.com/book/show/24178.Charlotte_s_Web
The Secret Garden,www.goodreads.com/book/show/2998.The_Secret_Garden
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
"Anne of Green Gables (Anne of Green Gables, #1)",www.goodreads.com/book/show/8127.Anne_of_Green_Gables
Little Women,www.goodreads.com/book/show/1934.Little_Women
Matilda,www.goodreads.com/book/show/39988.Matilda
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
"Little House in the Big Woods (Little House, #1)",www.goodreads.com/book/show/8337.Little_House_in_the_Big_Woods
Where the Wild Things Are,www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",www.goodreads.com/book/show/18131.A_Wrinkle_in_Time
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
"The Hobbit, or There and Back Again (The Lord of the Rings, #0)",www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
Where the Sidewalk Ends,www.goodreads.com/book/show/30119.Where_the_Sidewalk_Ends
Green Eggs and Ham,www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
"Little House on the Prairie (Little House, #3)",www.goodreads.com/book/show/77767.Little_House_on_the_Prairie
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",www.goodreads.com/book/show/99107.Winnie_the_Pooh
A Little Princess,www.goodreads.com/book/show/3008.A_Little_Princess
"Pippi Longstocking (Pippi Långstrump, #1)",www.goodreads.com/book/show/19302.Pippi_Longstocking
Heidi,www.goodreads.com/book/show/93.Heidi
The Very Hungry Caterpillar,www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar
The Giving Tree,www.goodreads.com/book/show/370493.The_Giving_Tree
The Diary of a Young Girl,www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl
Island of the Blue Dolphins,www.goodreads.com/book/show/41044096-island-of-the-blue-dolphins
Black Beauty,www.goodreads.com/book/show/3685.Black_Beauty
"The Boxcar Children (The Boxcar Children, #1)",www.goodreads.com/book/show/297249.The_Boxcar_Children
James and the Giant Peach,www.goodreads.com/book/show/6689.James_and_the_Giant_Peach
"The Cat in the Hat (Cat in the Hat, #1)",www.goodreads.com/book/show/233093.The_Cat_in_the_Hat
To Kill a Mockingbird,www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
